name,address,wifi
焼肉レストランロインズ 松山店,沖縄県那覇市松山２-10-13,あり
いちゃりば コラボ 北谷店,沖縄県中頭郡北谷町美浜３-3-3 1F,未確認
PIZZA&ITALIAN BAR COBY コビー,沖縄県中頭郡北谷町港８－８,あり
バルコラボ 肉バル 沖国大前店,沖縄県宜野湾市宜野湾３-1-23 1F,未確認
炙る チェリチェリ,沖縄県那覇市久茂地３-8-19,あり
土香る,沖縄県那覇市松尾２－６－２４　地下1階,あり
居酒家 ぶらんこ,沖縄県宜野湾市愛知１‐5‐13,あり
炭火網焼きジンギスカン 羊蹄山,沖縄県那覇市牧志１-3-11　花笠楼ビル１Ｆ,あり
ぱいかじ 国際通り牧志店,沖縄県那覇市牧志２－３－１　Ｋ２ビル　２Ｆ,あり
うみんちゅぬ やまんちゅぬ 北大前店,北海道札幌市北区北１４条西３丁目ゼウスビル1F,未確認
沖縄んDINING ちゅらか～ぎ～,沖縄県那覇市久茂地３-１１-２,なし
おもろ殿内 那覇新都心店,沖縄県那覇市安謝１－２－３,なし
島人の宝 北7店,北海道札幌市東区北７条東３　1番地,未確認
ジャングルダイニング Peace Rock Cafe,沖縄県那覇市牧志２－３－２０　アーバンコア２０２,あり
沖縄食堂じまんや,沖縄県那覇市牧志２－１７－４６,あり
バルコラボ オーシャンテラス 真栄田岬店,沖縄県国頭郡恩納村字真栄田928-1,なし
バルコラボ 県庁前店,沖縄県那覇市泉崎１-11-2 ダイワロイネットホテル沖縄県庁前1F,あり
焼肉レストラン ロインズ ROINS 久茂地店,沖縄県那覇市久茂地２－６－１６　１F,あり
首里殿内 すいどぅんち,沖縄県那覇市首里金城町２－８１,未確認
Jungle Gorilla ジャングル ゴリラ 門真市,大阪府門真市新橋町8－31　,あり
ピースマンチーズ Peace Munchies,沖縄県那覇市安里１－１－５８　光生ビル２F,あり
しゃぶしゃぶダイニング こらぼ 北谷国体道路店,沖縄県中頭郡北谷町字上勢頭667-3,なし
GOONIES グーニーズ,大阪府大阪市大正区三軒家東１丁目-8-28,あり
SLOWLIFE スローライフ cafe&bar,沖縄県宜野湾市宇地泊616　２Ｆ,あり
KIINO italian diner,沖縄県那覇市牧志３沖縄県那覇市牧志3丁目11-12 M's road Makishi 102号室 ,あり
